year,watertemp,storms
2019,2.2,20
2018,1.6,16
2017,0.4,18
2016,2,16
2015,1.4,12
2014,0.1,9
2013,0.8,15
2012,0.9,19
2011,1.2,20
2010,1.5,21
2009,1,11
2008,0.6,17
2007,0.6,17
2006,0.6,10
2005,0.6,31
2004,0.9,16
2003,1.2,21
2002,0.5,14
2001,0.2,17
2000,0.5,19
1999,1,16
1998,1.3,14
1997,0.4,9
1996,0.6,13
1995,0.8,21
1994,0.7,12
1993,0.1,10
1992,0.3,10
1991,1.5,12
1990,1,16
1989,0.2,15
1988,-0.7,19
1987,0.2,14
1986,0.6,10
1985,0.5,14
1984,-1.1,20
1983,0.3,7
1982,0.8,9
1981,0.6,22
1980,0.8,15
1979,-0.3,9
1978,0.5,24
1977,0.4,16
1976,-0.7,21
1975,0.6,23
1974,-0.6,20
1973,0.1,24
1972,-0.9,19
1971,-0.1,22
1970,-0.8,19
1969,0.8,20
1968,0.2,8
1967,0.1,8
1966,-0.4,11
1965,-0.5,10
1964,0,13
1963,0.8,10
1962,0.2,7
1961,0,12
1960,0.4,8
1959,0.2,14
1958,0.7,12
1957,0.9,8
1956,-0.5,12
1955,-0.3,13
1954,0.1,16
1953,1.3,14
1952,0.2,11
1951,0.4,12
1950,-0.1,16
1949,0.4,16
1948,1,10
1947,1,10
1946,-0.4,7
1945,-0.1,11
1944,0.7,14
1943,1.7,10
1942,0.9,11
1941,0.8,6
1940,-0.1,9
1939,-0.3,6
1938,-0.1,9
1937,0.4,17
1936,-0.1,11
1935,0.1,8
1934,-0.5,13
1933,-0.5,20
1932,-0.1,15
1931,-1.2,13
1930,-1.5,3
1929,-1.1,5
1928,-1.1,6
1927,-0.1,8
1926,-0.5,11
1925,-1,4
1924,0.7,11
1923,-0.5,9
1922,-0.4,5
1921,-0.7,7
1920,-1,5
1919,-1.7,5
1918,-0.5,6
1917,-1.8,4
1916,-0.3,15
1915,-0.1,6
1914,-0.6,1
1913,-2,6
1912,-1,7
1911,-0.2,6
1910,-1.7,5